Rk,Season,Lg,Age,Ht,Wt,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,Pace,eFG%,TOV%,ORB%,FT/FGA,ORtg
21,2001-02,NBA,27.4,7-Jun,218,1189,574670,86011,193263,12402,35074,42619,56650,29094,71735,100829,52131,18538,12422,34389,50497,227043,0.445,0.354,0.752,90.7,0.477,13.6,28.9,0.221,104.5
22,2000-01,NBA,27.7,7-Jun,216,1189,575520,84865,191664,11524,32597,44205,59137,28519,72469,100988,51786,18600,12505,35783,53143,225459,0.443,0.354,0.748,91.3,0.473,14.1,28.2,0.231,103
23,1999-00,NBA,27.8,7-Jun,216,1189,574270,87591,195220,11513,32614,45094,60111,29526,72536,102062,53130,18868,12293,36788,55408,231789,0.449,0.353,0.75,93.1,0.478,14.2,28.9,0.231,104.1
24,1998-99,NBA,27.9,7-Jun,215,725,350650,49549,113379,6463,19080,27231,37399,18250,42145,60395,30050,12113,7196,22221,32206,132792,0.437,0.339,0.728,88.9,0.466,14.6,30.2,0.24,102.2
25,1997-98,NBA,27.7,7-Jun,214,1189,575120,85383,189537,10450,30231,46053,62494,31033,67765,98798,52386,19943,12062,36823,53278,227269,0.45,0.346,0.737,90.3,0.478,14.5,31.4,0.243,105
26,1996-97,NBA,27.7,7-Jun,213,1189,575170,85777,188594,14383,39943,44496,60271,30120,67583,97703,52426,19486,11674,37252,52602,230433,0.455,0.36,0.738,90.1,0.493,14.8,30.8,0.236,106.7
27,1995-96,NBA,27.5,7-Jun,213,1189,574570,88096,190675,14000,38161,46427,62765,30016,68083,98099,53950,18952,12038,37641,54806,236619,0.462,0.367,0.74,91.8,0.499,14.7,30.6,0.243,107.6
28,1994-95,NBA,27.2,7-Jun,212,1107,535610,84105,180423,12153,33889,44155,59938,28878,63128,92006,51729,18330,11430,35303,51961,224518,0.466,0.359,0.737,92.9,0.5,14.6,31.4,0.245,108.3
29,1993-94,NBA,27.2,7-Jun,211,1107,533810,87064,186951,7301,21907,43308,58977,30687,64505,95192,54003,19652,11579,35424,49075,224737,0.466,0.333,0.734,95.1,0.485,14.3,32.2,0.232,106.3
30,1992-93,NBA,27.1,7-Jun,210,1107,535160,90056,190295,6668,19824,46293,61373,30536,64968,95504,54705,18932,11558,35230,51269,233073,0.473,0.336,0.754,96.8,0.491,14,32,0.243,108
31,1991-92,NBA,27.2,7-Jun,208,1107,535310,91371,193391,5587,16898,44826,59075,31787,64893,96680,54192,19131,12216,34430,49227,233155,0.472,0.331,0.759,96.6,0.487,13.6,32.9,0.232,108.2
32,1990-91,NBA,27.2,7-Jun,209,1107,535260,91551,193059,5055,15812,47213,61736,30959,64817,95776,54782,19014,11624,35515,51304,235370,0.474,0.32,0.765,97.8,0.487,13.9,32.3,0.245,107.9
33,1989-90,NBA,27.1,7-Jun,208,1107,534760,91914,192951,4829,14608,48225,63118,30633,64885,95518,55023,18881,11207,35555,51478,236882,0.476,0.331,0.764,98.3,0.489,13.9,32.1,0.25,108.1
34,1988-89,NBA,26.9,7-Jun,208,1025,495150,87060,182385,4332,13431,45345,59067,29724,60307,90031,52431,18619,10949,35312,48504,223797,0.477,0.323,0.768,100.6,0.489,14.5,33,0.249,107.8
35,1987-88,NBA,26.9,7-Jun,209,943,455040,79473,165441,2979,9421,42068,54933,26834,54994,81828,48599,16055,10160,31563,45461,203993,0.48,0.316,0.766,99.6,0.489,14.3,32.8,0.254,108
36,1986-87,NBA,26.6,7-Jun,209,943,455590,80422,167455,2687,8913,43807,57449,27725,55295,83020,48998,16264,10411,32040,46277,207338,0.48,0.301,0.763,100.8,0.488,14.3,33.4,0.262,108.3
37,1985-86,NBA,26.8,7-Jun,208,943,455640,81465,167166,1774,6293,43171,57079,26661,55500,82161,49065,16576,9910,33645,47543,207875,0.487,0.282,0.756,102.1,0.493,14.9,32.4,0.258,107.2
38,1984-85,NBA,26.4,7-Jun,207,943,455340,82532,168048,1671,5917,42306,55381,26999,55009,82008,49515,16122,10019,33694,47036,209041,0.491,0.282,0.764,102.1,0.496,14.9,32.9,0.252,107.9
39,1983-84,NBA,26.4,7-Jun,206,943,456490,82007,166638,1120,4484,42534,55992,26772,54378,81150,49397,16041,10004,33755,48573,207668,0.492,0.25,0.76,101.4,0.495,15,33,0.255,107.6
40,1982-83,NBA,26.1,7-Jun,205,943,455090,82087,169098,1011,4248,39473,53336,27970,55883,83853,48862,16778,10566,36038,48373,204658,0.485,0.238,0.74,103.1,0.488,15.8,33.4,0.233,104.7
41,1981-82,NBA,26.2,7-Jun,205,943,455690,81732,166418,1129,4308,40183,53889,27039,54948,81987,47438,16107,10131,33435,49352,204776,0.491,0.262,0.746,100.9,0.495,15,33,0.241,106.9
42,1980-81,NBA,26.2,7-Jun,205,943,455340,81025,166769,936,3815,40900,54481,27437,54573,82010,48034,16964,10036,35354,47265,203886,0.486,0.245,0.751,101.8,0.489,15.6,33.5,0.245,105.5
